country,cause,year,total,,,,
Belgium,Ischaemic heart diseases,2019,46.6,,,,
Belgium,Accidents,2019,31.6,,,,
Belgium,Certain infectious and parasitic diseases,2019,16.3,,,,
Belgium,Malignant melanoma of skin,2019,2.3,,,,
Belgium,Alzheimer's disease,2019,16,,,,
Belgium,Diseases of the musculoskeletal system and connective tissue,2019,4.5,,,,
Belgium,Diabetes mellitus,2019,10.3,,,,
Belgium,Malignant neoplasms of stomach,2019,4.7,,,,
Belgium,Malignant neoplasms of pancreas,2019,13.4,,,,
Belgium,Chronic obstructive pulmonary diseases,2019,30.3,,,,
Belgium,Malignant neoplasms of bladder,2019,5.4,,,,
Belgium,Leukemia,2019,7.2,,,,
Belgium,Total,2019,770,,,,
Belgium,"Congenital malformations, deformations and chromosomal abnormalities",2020,2,,,,
Belgium,Influenza,2020,1.6,,,,
Belgium,Diseases of the blood and blood-forming organs,2020,3.4,,,,
Belgium,"Endocrine, nutritional and metabolic diseases",2020,18.9,,,,
Belgium,Diseases of the nervous system,2020,38.8,,,,
Belgium,Chronic liver diseases and cirrhosis,2020,10.1,,,,
Belgium,Assault,2020,0.7,,,,
Belgium,Diseases of the skin and subcutaneous tissue,2020,2.3,,,,
Belgium,HIV-AIDS,2020,0.2,,,,
Belgium,Hodgkin’s disease,2020,0.3,,,,
Belgium,"Malignant neoplasms of colon, rectum and anus",2020,18.3,,,,
Belgium,Accidental poisoning,2020,1.7,,,,
Belgium,Transport Accidents,2020,4.1,,,,
Belgium,Malignant neoplasms,2020,190.8,,,,
Belgium,Malignant neoplasms of liver,2020,7.2,,,,
Belgium,Diseases of the respiratory system,2020,71.6,,,,
Belgium,Accidental falls,2020,12.2,,,,
Belgium,Acute myocardial infarction,2020,23.7,,,,
Belgium,Certain conditions originating in the perinatal period,2020,1.9,,,,
Belgium,Mental and behavioural disorders,2020,36.4,,,,
Belgium,Diseases of the genitourinary system,2020,20.7,,,,
Belgium,"Malignant neoplasms of trachea, bronchus, lung",2020,42.5,,,,
Belgium,Parkinson's disease,2020,9.1,,,,
Belgium,Cerebrovascular diseases,2020,40,,,,
Belgium,Dementia,2020,29.9,,,,
Belgium,Pneumonia,2020,22.8,,,,
Belgium,Asthma,2020,0.7,,,,
Belgium,Peptic ulcer,2020,1.2,,,,
Belgium,Neoplasms,2020,199,,,,
Belgium,External causes of mortality,2020,53.4,,,,
Belgium,"Symptoms, signs, ill-defined causes",2020,57.4,,,,
Belgium,Tuberculosis,2020,0.3,,,,
Belgium,Diseases of the circulatory system,2020,178.4,,,,
Belgium,Diseases of the digestive system,2020,34.9,,,,
Belgium,Intentional self-harm,2020,14.6,,,,
Belgium,Ischaemic heart diseases,2020,43.3,,,,
Belgium,Accidents,2020,30.7,,,,
Belgium,Certain infectious and parasitic diseases,2020,13.1,,,,
Belgium,Malignant melanoma of skin,2020,2.4,,,,
Belgium,Alzheimer's disease,2020,15.2,,,,
Belgium,Diseases of the musculoskeletal system and connective tissue,2020,4.5,,,,
Belgium,Diabetes mellitus,2020,10.5,,,,
Belgium,Malignant neoplasms of stomach,2020,5,,,,
Belgium,Malignant neoplasms of pancreas,2020,13.7,,,,
Belgium,Chronic obstructive pulmonary diseases,2020,27.4,,,,
Belgium,Malignant neoplasms of bladder,2020,5.5,,,,
Belgium,Codes for special purposes: COVID-19,2020,149,,,,
Belgium,Leukemia,2020,7.2,,,,
Belgium,Total,2020,885.6,,,,
Brazil,Total,1982,1529.6,,,,
Brazil,External causes of mortality,1982,86.8,,,,
Brazil,Certain infectious and parasitic diseases,1982,55.9,,,,
Brazil,Diseases of the genitourinary system,1982,23.5,,,,
Brazil,Neoplasms,1982,155.9,,,,
Brazil,Pneumonia,1982,48.9,,,,
Brazil,Malignant neoplasms,1982,153.7,,,,
Brazil,Certain conditions originating in the perinatal period,1982,18.2,,,,
Brazil,Transport Accidents,1982,24.7,,,,
Brazil,Diabetes mellitus,1982,32.1,,,,
Brazil,Influenza,1982,0.6,,,,
Brazil,Diseases of the musculoskeletal system and connective tissue,1982,2.1,,,,
Brazil,Accidental poisoning,1982,0.4,,,,
Brazil,Diseases of the circulatory system,1982,594.6,,,,
Brazil,Tuberculosis,1982,9.2,,,,
Brazil,Assault,1982,16.2,,,,
Brazil,"Malignant neoplasms of trachea, bronchus, lung",1982,17.5,,,,
Brazil,Malignant neoplasms of liver,1982,1.6,,,,
Brazil,Leukemia,1982,4.1,,,,
Brazil,Diseases of the blood and blood-forming organs,1982,3.9,,,,
Brazil,"Endocrine, nutritional and metabolic diseases",1982,47.4,,,,
Brazil,Malignant melanoma of skin,1982,0.9,,,,
Brazil,Accidents,1982,49.2,,,,
Brazil,Dementia,1982,0.5,,,,
Brazil,Diseases of the digestive system,1982,53.7,,,,
Brazil,"Malignant neoplasms of colon, rectum and anus",1982,9.7,,,,
Brazil,Chronic liver diseases and cirrhosis,1982,16.2,,,,
Brazil,Mental and behavioural disorders,1982,3,,,,
Brazil,Malignant neoplasms of bladder,1982,3.5,,,,
Brazil,"Congenital malformations, deformations and chromosomal abnormalities",1982,3.5,,,,
Brazil,Diseases of the nervous system,1982,9,,,,
Brazil,Chronic obstructive pulmonary diseases,1982,24.2,,,,
Brazil,Diseases of the skin and subcutaneous tissue,1982,1.1,,,,
Brazil,Diseases of the respiratory system,1982,111.2,,,,
Brazil,Ischaemic heart diseases,1982,165.7,,,,
Brazil,Intentional self-harm,1982,4.6,,,,
Brazil,"Symptoms, signs, ill-defined causes",1982,357.7,,,,
Brazil,Malignant neoplasms of stomach,1982,24.3,,,,
Brazil,Accidental falls,1982,7.3,,,,
Brazil,Cerebrovascular diseases,1982,199.4,,,,
Brazil,Peptic ulcer,1982,6.1,,,,
Brazil,Acute myocardial infarction,1982,104.2,,,,
Brazil,Total,1983,1485.7,,,,
Brazil,External causes of mortality,1983,85.7,,,,
Brazil,Certain infectious and parasitic diseases,1983,52.5,,,,
Brazil,Diseases of the genitourinary system,1983,21.2,,,,
Brazil,Neoplasms,1983,149,,,,
Brazil,Pneumonia,1983,49.5,,,,
Brazil,Malignant neoplasms,1983,146.7,,,,
Brazil,Certain conditions originating in the perinatal period,1983,17.9,,,,
Brazil,Transport Accidents,1983,22,,,,
Brazil,Diabetes mellitus,1983,31.7,,,,
Brazil,Influenza,1983,0.5,,,,
Brazil,Diseases of the musculoskeletal system and connective tissue,1983,1.9,,,,
Brazil,Accidental poisoning,1983,0.5,,,,
Brazil,Diseases of the circulatory system,1983,563.2,,,,
Brazil,Tuberculosis,1983,8.5,,,,
Brazil,Assault,1983,16.8,,,,
Brazil,"Malignant neoplasms of trachea, bronchus, lung",1983,17.4,,,,
Brazil,Malignant neoplasms of liver,1983,1.6,,,,
Brazil,Leukemia,1983,4.1,,,,
Brazil,Diseases of the blood and blood-forming organs,1983,3.6,,,,
Brazil,"Endocrine, nutritional and metabolic diseases",1983,47.8,,,,
Brazil,Malignant melanoma of skin,1983,0.9,,,,
Brazil,Accidents,1983,49.5,,,,
Brazil,Dementia,1983,0.6,,,,
Brazil,Diseases of the digestive system,1983,52.2,,,,
Brazil,"Malignant neoplasms of colon, rectum and anus",1983,9.1,,,,
Brazil,Chronic liver diseases and cirrhosis,1983,16.7,,,,
Brazil,Mental and behavioural disorders,1983,3.2,,,,
Brazil,Malignant neoplasms of bladder,1983,3.4,,,,
Brazil,"Congenital malformations, deformations and chromosomal abnormalities",1983,3.5,,,,
Brazil,Diseases of the nervous system,1983,9.3,,,,
Brazil,Chronic obstructive pulmonary diseases,1983,22.8,,,,
Brazil,Diseases of the skin and subcutaneous tissue,1983,1.2,,,,
Brazil,Diseases of the respiratory system,1983,112.9,,,,
Brazil,Ischaemic heart diseases,1983,162,,,,
Brazil,Intentional self-harm,1983,5.2,,,,
Brazil,"Symptoms, signs, ill-defined causes",1983,358.9,,,,
Brazil,Malignant neoplasms of stomach,1983,22.8,,,,
Brazil,Accidental falls,1983,6.4,,,,
Brazil,Cerebrovascular diseases,1983,186.7,,,,
Brazil,Peptic ulcer,1983,5.9,,,,
Brazil,Acute myocardial infarction,1983,101.5,,,,
Brazil,Total,1984,1553.9,,,,
Brazil,External causes of mortality,1984,87.7,,,,
Brazil,Certain infectious and parasitic diseases,1984,57.3,,,,
Brazil,Diseases of the genitourinary system,1984,22,,,,
Brazil,Neoplasms,1984,150,,,,
Brazil,Pneumonia,1984,53.6,,,,
Brazil,Malignant neoplasms,1984,147.8,,,,
Brazil,Certain conditions originating in the perinatal period,1984,16.4,,,,
Brazil,Transport Accidents,1984,23.6,,,,
Brazil,Diabetes mellitus,1984,30.8,,,,
Brazil,Influenza,1984,0.5,,,,
Brazil,Diseases of the musculoskeletal system and connective tissue,1984,2.9,,,,
Brazil,Accidental poisoning,1984,0.4,,,,
Brazil,Diseases of the circulatory system,1984,573.7,,,,
Brazil,Tuberculosis,1984,8.6,,,,
Brazil,Assault,1984,18.5,,,,
Brazil,"Malignant neoplasms of trachea, bronchus, lung",1984,17.5,,,,
Brazil,Malignant neoplasms of liver,1984,1.5,,,,
Brazil,Leukemia,1984,4,,,,
Brazil,Diseases of the blood and blood-forming organs,1984,3.8,,,,
Brazil,"Endocrine, nutritional and metabolic diseases",1984,49.3,,,,
Brazil,Malignant melanoma of skin,1984,0.8,,,,
Brazil,Accidents,1984,48.5,,,,
Brazil,Dementia,1984,0.7,,,,
Brazil,Diseases of the digestive system,1984,54.3,,,,
Brazil,"Malignant neoplasms of colon, rectum and anus",1984,9.2,,,,
Brazil,Chronic liver diseases and cirrhosis,1984,17.5,,,,
Brazil,Mental and behavioural disorders,1984,3.4,,,,
Brazil,Malignant neoplasms of bladder,1984,3.6,,,,
Brazil,"Congenital malformations, deformations and chromosomal abnormalities",1984,3.2,,,,
Brazil,Diseases of the nervous system,1984,9.3,,,,
Brazil,Chronic obstructive pulmonary diseases,1984,22.8,,,,
Brazil,Diseases of the skin and subcutaneous tissue,1984,1.3,,,,
Brazil,Diseases of the respiratory system,1984,122.1,,,,
Brazil,Ischaemic heart diseases,1984,163.8,,,,
Brazil,Intentional self-harm,1984,5,,,,
Brazil,"Symptoms, signs, ill-defined causes",1984,395.7,,,,
Brazil,Malignant neoplasms of stomach,1984,22.1,,,,
Brazil,Cerebrovascular diseases,1984,194.9,,,,
Brazil,Accidental falls,1984,5.9,,,,
Brazil,Peptic ulcer,1984,5.9,,,,
Brazil,Acute myocardial infarction,1984,104.5,,,,
Brazil,Total,1985,1537.3,,,,
Brazil,External causes of mortality,1985,89.9,,,,
Brazil,Certain infectious and parasitic diseases,1985,52.4,,,,
Brazil,Diseases of the genitourinary system,1985,22.2,,,,
Brazil,Neoplasms,1985,152.9,,,,
Brazil,Pneumonia,1985,55.2,,,,
Brazil,Malignant neoplasms,1985,151,,,,
Brazil,Certain conditions originating in the perinatal period,1985,15,,,,
Brazil,Transport Accidents,1985,25.6,,,,
Brazil,Diabetes mellitus,1985,32.8,,,,
Brazil,Influenza,1985,0.5,,,,
Brazil,Diseases of the musculoskeletal system and connective tissue,1985,1.9,,,,
Brazil,Accidental poisoning,1985,0.3,,,,
Brazil,Diseases of the circulatory system,1985,578.6,,,,
Brazil,Tuberculosis,1985,8,,,,
Brazil,Assault,1985,17.5,,,,
Brazil,"Malignant neoplasms of trachea, bronchus, lung",1985,18,,,,
Brazil,Malignant neoplasms of liver,1985,2.4,,,,
Brazil,Leukemia,1985,4.2,,,,
Brazil,Diseases of the blood and blood-forming organs,1985,3.9,,,,
Brazil,"Endocrine, nutritional and metabolic diseases",1985,51.1,,,,
Brazil,Malignant melanoma of skin,1985,0.9,,,,
Brazil,Accidents,1985,52,,,,
Brazil,Dementia,1985,0.7,,,,
Brazil,Diseases of the digestive system,1985,55.3,,,,
Brazil,"Malignant neoplasms of colon, rectum and anus",1985,9,,,,
Brazil,Chronic liver diseases and cirrhosis,1985,17.6,,,,
Brazil,Mental and behavioural disorders,1985,3.4,,,,
Brazil,Malignant neoplasms of bladder,1985,3.6,,,,
Brazil,"Congenital malformations, deformations and chromosomal abnormalities",1985,3.1,,,,
Brazil,Diseases of the nervous system,1985,8.9,,,,
Brazil,Chronic obstructive pulmonary diseases,1985,23.3,,,,
Brazil,Diseases of the skin and subcutaneous tissue,1985,1.6,,,,
Brazil,Diseases of the respiratory system,1985,128,,,,
Brazil,Ischaemic heart diseases,1985,168.3,,,,
Brazil,Intentional self-harm,1985,4.8,,,,
Brazil,"Symptoms, signs, ill-defined causes",1985,367.7,,,,
Brazil,Malignant neoplasms of stomach,1985,21.5,,,,
Brazil,Cerebrovascular diseases,1985,194.7,,,,
Brazil,Accidental falls,1985,7.3,,,,
Brazil,Peptic ulcer,1985,5.8,,,,
Brazil,Acute myocardial infarction,1985,108.2,,,,
Brazil,Total,1986,1527,,,,
Brazil,External causes of mortality,1986,98.9,,,,
Brazil,Certain infectious and parasitic diseases,1986,53.4,,,,
Brazil,Diseases of the genitourinary system,1986,22,,,,
Brazil,Neoplasms,1986,152.8,,,,
Brazil,Pneumonia,1986,59.6,,,,
Brazil,Malignant neoplasms,1986,150.9,,,,
Brazil,Certain conditions originating in the perinatal period,1986,15.9,,,,
Brazil,Transport Accidents,1986,30.4,,,,
Brazil,Diabetes mellitus,1986,33.8,,,,
Brazil,Influenza,1986,0.4,,,,
Brazil,Diseases of the musculoskeletal system and connective tissue,1986,2,,,,
Brazil,Accidental poisoning,1986,0.4,,,,
Brazil,Diseases of the circulatory system,1986,560.9,,,,
Brazil,Tuberculosis,1986,7.6,,,,
Brazil,Assault,1986,18.2,,,,
Brazil,"Malignant neoplasms of trachea, bronchus, lung",1986,18.3,,,,
Brazil,Malignant neoplasms of liver,1986,2.8,,,,
Brazil,Leukemia,1986,4.3,,,,
Brazil,Diseases of the blood and blood-forming organs,1986,3.9,,,,
Brazil,"Endocrine, nutritional and metabolic diseases",1986,52.5,,,,
Brazil,Malignant melanoma of skin,1986,0.9,,,,
Brazil,Accidents,1986,58.6,,,,
Brazil,Dementia,1986,0.7,,,,
Brazil,Diseases of the digestive system,1986,56.5,,,,
Brazil,"Malignant neoplasms of colon, rectum and anus",1986,9,,,,
Brazil,Chronic liver diseases and cirrhosis,1986,18.6,,,,
Brazil,Mental and behavioural disorders,1986,4,,,,
Brazil,Malignant neoplasms of bladder,1986,3.5,,,,
Brazil,"Congenital malformations, deformations and chromosomal abnormalities",1986,3.5,,,,
Brazil,Diseases of the nervous system,1986,9.1,,,,
Brazil,Chronic obstructive pulmonary diseases,1986,22.2,,,,
Brazil,Diseases of the skin and subcutaneous tissue,1986,1.5,,,,
Brazil,Diseases of the respiratory system,1986,134.7,,,,
Brazil,Ischaemic heart diseases,1986,159.2,,,,
Brazil,Intentional self-harm,1986,4.7,,,,
Brazil,"Symptoms, signs, ill-defined causes",1986,354.2,,,,
Brazil,Malignant neoplasms of stomach,1986,21.1,,,,
Brazil,Cerebrovascular diseases,1986,190,,,,
Brazil,Accidental falls,1986,6.9,,,,
Brazil,Peptic ulcer,1986,5.2,,,,
Brazil,Acute myocardial infarction,1986,106,,,,
Brazil,External causes of mortality,1987,90.6,,,,
Brazil,Certain infectious and parasitic diseases,1987,49.4,,,,
Brazil,Diseases of the genitourinary system,1987,20.9,,,,
Brazil,Neoplasms,1987,149.1,,,,
Brazil,Pneumonia,1987,49.9,,,,
Brazil,Malignant neoplasms,1987,147.1,,,,
Brazil,Certain conditions originating in the perinatal period,1987,14.6,,,,
Brazil,Transport Accidents,1987,27.3,,,,
Brazil,Diabetes mellitus,1987,32.9,,,,
Brazil,Influenza,1987,0.3,,,,
Brazil,Diseases of the musculoskeletal system and connective tissue,1987,1.9,,,,
Brazil,Accidental poisoning,1987,0.2,,,,
Brazil,Diseases of the circulatory system,1987,510.3,,,,
Brazil,Tuberculosis,1987,7.2,,,,
Brazil,Assault,1987,19.1,,,,
Brazil,"Malignant neoplasms of trachea, bronchus, lung",1987,18.1,,,,
Brazil,Malignant neoplasms of liver,1987,2,,,,
Brazil,Leukemia,1987,4,,,,
Brazil,Diseases of the blood and blood-forming organs,1987,3.6,,,,
Brazil,"Endocrine, nutritional and metabolic diseases",1987,51.1,,,,
Brazil,Malignant melanoma of skin,1987,0.9,,,,
Brazil,Accidents,1987,51.8,,,,
Brazil,Dementia,1987,0.8,,,,
Brazil,Diseases of the digestive system,1987,54.2,,,,
Brazil,"Malignant neoplasms of colon, rectum and anus",1987,9,,,,
Brazil,Chronic liver diseases and cirrhosis,1987,17.7,,,,
Brazil,Mental and behavioural disorders,1987,4,,,,
Brazil,Total,1987,1394.6,,,,
Brazil,Malignant neoplasms of bladder,1987,3.2,,,,
Brazil,"Congenital malformations, deformations and chromosomal abnormalities",1987,3.3,,,,
Brazil,Diseases of the nervous system,1987,9,,,,
Brazil,Chronic obstructive pulmonary diseases,1987,19.5,,,,
Brazil,Diseases of the skin and subcutaneous tissue,1987,1.6,,,,
Brazil,Diseases of the respiratory system,1987,118.9,,,,
Brazil,Ischaemic heart diseases,1987,149.4,,,,
Brazil,Intentional self-harm,1987,5,,,,
Brazil,"Symptoms, signs, ill-defined causes",1987,310.9,,,,
Brazil,Malignant neoplasms of stomach,1987,20.7,,,,
Brazil,Cerebrovascular diseases,1987,172.5,,,,
Brazil,Accidental falls,1987,5.8,,,,
Brazil,Peptic ulcer,1987,5.3,,,,
Brazil,Acute myocardial infarction,1987,103.3,,,,
Brazil,External causes of mortality,1988,90.6,,,,
Brazil,Certain infectious and parasitic diseases,1988,49.4,,,,
Brazil,Diseases of the genitourinary system,1988,22.5,,,,
Brazil,Neoplasms,1988,150.7,,,,
Brazil,Pneumonia,1988,57.3,,,,
Brazil,Malignant neoplasms,1988,148.3,,,,
Brazil,Certain conditions originating in the perinatal period,1988,14.3,,,,
Brazil,Transport Accidents,1988,26.7,,,,
Brazil,Diabetes mellitus,1988,34.6,,,,
Brazil,Influenza,1988,0.4,,,,
Brazil,Diseases of the musculoskeletal system and connective tissue,1988,1.9,,,,
Brazil,Accidental poisoning,1988,0.3,,,,
Brazil,Diseases of the circulatory system,1988,533.9,,,,
Brazil,Tuberculosis,1988,7.3,,,,
Brazil,Assault,1988,19,,,,
Brazil,"Malignant neoplasms of trachea, bronchus, lung",1988,18.9,,,,
Brazil,Malignant neoplasms of liver,1988,2,,,,
Brazil,Leukemia,1988,3.8,,,,
Brazil,Diseases of the blood and blood-forming organs,1988,3.6,,,,
Brazil,"Endocrine, nutritional and metabolic diseases",1988,54.1,,,,
Brazil,Malignant melanoma of skin,1988,1,,,,
Brazil,Accidents,1988,52.1,,,,
Brazil,Dementia,1988,0.9,,,,
Brazil,Diseases of the digestive system,1988,55.7,,,,
Brazil,"Malignant neoplasms of colon, rectum and anus",1988,9.1,,,,
Brazil,Chronic liver diseases and cirrhosis,1988,18,,,,
Brazil,Mental and behavioural disorders,1988,4.4,,,,
Brazil,Malignant neoplasms of bladder,1988,3.1,,,,
Brazil,"Congenital malformations, deformations and chromosomal abnormalities",1988,3.3,,,,
Brazil,Diseases of the nervous system,1988,9.2,,,,
Brazil,Chronic obstructive pulmonary diseases,1988,20.1,,,,
Brazil,Diseases of the skin and subcutaneous tissue,1988,1.5,,,,
Brazil,Diseases of the respiratory system,1988,133.4,,,,
Brazil,Ischaemic heart diseases,1988,154.5,,,,
Brazil,Intentional self-harm,1988,4.6,,,,
Brazil,"Symptoms, signs, ill-defined causes",1988,312.5,,,,
Brazil,Malignant neoplasms of stomach,1988,19.9,,,,
Brazil,Accidental falls,1988,6.8,,,,
Brazil,Cerebrovascular diseases,1988,178.3,,,,
Brazil,Peptic ulcer,1988,5.2,,,,
Brazil,Acute myocardial infarction,1988,109,,,,
Brazil,Total,1988,1442.2,,,,
Brazil,External causes of mortality,1989,92,,,,
Brazil,Certain infectious and parasitic diseases,1989,47.5,,,,
Brazil,Diseases of the genitourinary system,1989,21.2,,,,
Brazil,Neoplasms,1989,149.3,,,,
Brazil,Pneumonia,1989,49.7,,,,
Brazil,Malignant neoplasms,1989,146.6,,,,
Brazil,Certain conditions originating in the perinatal period,1989,13.4,,,,
Brazil,Transport Accidents,1989,27.1,,,,
Brazil,Diabetes mellitus,1989,35.8,,,,
Brazil,Influenza,1989,0.6,,,,
Brazil,Diseases of the musculoskeletal system and connective tissue,1989,2,,,,
Brazil,Accidental poisoning,1989,0.3,,,,
Brazil,Diseases of the circulatory system,1989,503.4,,,,
Brazil,Tuberculosis,1989,7,,,,
Brazil,Assault,1989,22.4,,,,
Brazil,"Malignant neoplasms of trachea, bronchus, lung",1989,18.7,,,,
Brazil,Malignant neoplasms of liver,1989,2,,,,
Brazil,Leukemia,1989,3.9,,,,
Brazil,Diseases of the blood and blood-forming organs,1989,3.6,,,,
Brazil,"Endocrine, nutritional and metabolic diseases",1989,53.6,,,,
Brazil,Malignant melanoma of skin,1989,1,,,,
Brazil,Accidents,1989,52.3,,,,
Brazil,Dementia,1989,0.9,,,,
Brazil,Diseases of the digestive system,1989,53.4,,,,
Brazil,"Malignant neoplasms of colon, rectum and anus",1989,8.9,,,,
Brazil,Chronic liver diseases and cirrhosis,1989,17.3,,,,
Brazil,Mental and behavioural disorders,1989,4.6,,,,
Brazil,Malignant neoplasms of bladder,1989,3.2,,,,
Brazil,"Congenital malformations, deformations and chromosomal abnormalities",1989,3.2,,,,
Brazil,Diseases of the nervous system,1989,9.1,,,,
Brazil,Chronic obstructive pulmonary diseases,1989,17.7,,,,
Brazil,Diseases of the skin and subcutaneous tissue,1989,1.4,,,,
Brazil,Diseases of the respiratory system,1989,120.4,,,,
Brazil,Ischaemic heart diseases,1989,145.1,,,,
Brazil,Intentional self-harm,1989,4.5,,,,
Brazil,"Symptoms, signs, ill-defined causes",1989,286.1,,,,
Brazil,Malignant neoplasms of stomach,1989,19.4,,,,
Brazil,Accidental falls,1989,7.2,,,,
Brazil,Cerebrovascular diseases,1989,169.6,,,,
Brazil,Peptic ulcer,1989,5.4,,,,
Brazil,Acute myocardial infarction,1989,103.4,,,,
Brazil,Total,1989,1365.4,,,,
Brazil,External causes of mortality,1990,90.9,,,,
Brazil,Certain infectious and parasitic diseases,1990,44.5,,,,
Brazil,Diseases of the genitourinary system,1990,21.1,,,,
Brazil,Neoplasms,1990,149.4,,,,
Brazil,Pneumonia,1990,55,,,,
Brazil,Malignant neoplasms,1990,146.5,,,,
Brazil,Certain conditions originating in the perinatal period,1990,12.5,,,,
Brazil,Transport Accidents,1990,27,,,,
Brazil,Diabetes mellitus,1990,36.5,,,,
Brazil,Influenza,1990,0.9,,,,
Brazil,Diseases of the musculoskeletal system and connective tissue,1990,2.1,,,,
Brazil,Accidental poisoning,1990,0.3,,,,
Brazil,Diseases of the circulatory system,1990,493.5,,,,
Brazil,Tuberculosis,1990,6.8,,,,
Brazil,Assault,1990,25.2,,,,
Brazil,"Malignant neoplasms of trachea, bronchus, lung",1990,18.8,,,,
Brazil,Malignant neoplasms of liver,1990,1.8,,,,
Brazil,Leukemia,1990,4,,,,
Brazil,Diseases of the blood and blood-forming organs,1990,3.5,,,,
Brazil,"Endocrine, nutritional and metabolic diseases",1990,55.9,,,,
Brazil,Malignant melanoma of skin,1990,1,,,,
Brazil,Accidents,1990,51.8,,,,
Brazil,Dementia,1990,0.9,,,,
Brazil,Diseases of the digestive system,1990,52,,,,
Brazil,"Malignant neoplasms of colon, rectum and anus",1990,9.2,,,,
Brazil,Chronic liver diseases and cirrhosis,1990,16.5,,,,
Brazil,Mental and behavioural disorders,1990,4.5,,,,
Brazil,Malignant neoplasms of bladder,1990,3.1,,,,
Brazil,"Congenital malformations, deformations and chromosomal abnormalities",1990,3.2,,,,
Brazil,Diseases of the nervous system,1990,9.1,,,,
Brazil,Chronic obstructive pulmonary diseases,1990,18.7,,,,
Brazil,Diseases of the skin and subcutaneous tissue,1990,1.6,,,,
Brazil,Diseases of the respiratory system,1990,130.6,,,,
Brazil,Ischaemic heart diseases,1990,141,,,,
Brazil,Intentional self-harm,1990,4.7,,,,
Brazil,"Symptoms, signs, ill-defined causes",1990,281.8,,,,
Brazil,Malignant neoplasms of stomach,1990,18.7,,,,
Brazil,Accidental falls,1990,8.2,,,,
Brazil,Cerebrovascular diseases,1990,167.6,,,,
Brazil,Peptic ulcer,1990,5.2,,,,
Brazil,Acute myocardial infarction,1990,99.4,,,,
Brazil,Total,1990,1357.2,,,,
Brazil,External causes of mortality,1991,91,,,,
Brazil,Certain infectious and parasitic diseases,1991,42.5,,,,
Brazil,Diseases of the genitourinary system,1991,19.9,,,,
Brazil,Neoplasms,1991,150.3,,,,
Brazil,Pneumonia,1991,46.3,,,,
Brazil,Malignant neoplasms,1991,147.3,,,,
Brazil,Certain conditions originating in the perinatal period,1991,12.3,,,,
Brazil,Transport Accidents,1991,25.2,,,,
Brazil,Diabetes mellitus,1991,36.6,,,,
Brazil,Influenza,1991,0.7,,,,
Brazil,Diseases of the musculoskeletal system and connective tissue,1991,1.9,,,,
Brazil,Accidental poisoning,1991,0.3,,,,
Brazil,Diseases of the circulatory system,1991,462.2,,,,
Brazil,Tuberculosis,1991,6.7,,,,
Brazil,Assault,1991,23.7,,,,
Brazil,"Malignant neoplasms of trachea, bronchus, lung",1991,19.1,,,,
Brazil,Malignant neoplasms of liver,1991,1.7,,,,
Brazil,Leukemia,1991,4,,,,
Brazil,Diseases of the blood and blood-forming organs,1991,3.7,,,,
Brazil,"Endocrine, nutritional and metabolic diseases",1991,55.7,,,,
Brazil,Malignant melanoma of skin,1991,1,,,,
Brazil,Accidents,1991,51.3,,,,
Brazil,Dementia,1991,0.9,,,,
Brazil,Diseases of the digestive system,1991,52.5,,,,
Brazil,"Malignant neoplasms of colon, rectum and anus",1991,9.2,,,,
Brazil,Chronic liver diseases and cirrhosis,1991,16.6,,,,
Brazil,Mental and behavioural disorders,1991,4.6,,,,
Brazil,Malignant neoplasms of bladder,1991,3,,,,
Brazil,"Congenital malformations, deformations and chromosomal abnormalities",1991,3.5,,,,
Brazil,Diseases of the nervous system,1991,8.5,,,,
Brazil,Chronic obstructive pulmonary diseases,1991,16.2,,,,
Brazil,Diseases of the skin and subcutaneous tissue,1991,1.7,,,,
Brazil,Diseases of the respiratory system,1991,116.2,,,,
Brazil,Ischaemic heart diseases,1991,133.6,,,,
Brazil,Intentional self-harm,1991,4.9,,,,
Brazil,"Symptoms, signs, ill-defined causes",1991,270.1,,,,
Brazil,Malignant neoplasms of stomach,1991,18.7,,,,
Brazil,Accidental falls,1991,8.1,,,,
Brazil,Cerebrovascular diseases,1991,155.9,,,,
Brazil,Peptic ulcer,1991,5,,,,
Brazil,Acute myocardial infarction,1991,95.7,,,,
Brazil,Total,1991,1297.5,,,,
Brazil,External causes of mortality,1992,87.9,,,,
Brazil,Certain infectious and parasitic diseases,1992,43.7,,,,
Brazil,Diseases of the genitourinary system,1992,20.6,,,,
Brazil,Neoplasms,1992,153.8,,,,
Brazil,Pneumonia,1992,48.8,,,,
Brazil,Malignant neoplasms,1992,150.7,,,,
Brazil,Certain conditions originating in the perinatal period,1992,11.8,,,,
Brazil,Transport Accidents,1992,23.2,,,,
Brazil,Diabetes mellitus,1992,37.4,,,,
Brazil,Influenza,1992,0.9,,,,
Brazil,Diseases of the musculoskeletal system and connective tissue,1992,2,,,,
Brazil,Accidental poisoning,1992,0.3,,,,
Brazil,Diseases of the circulatory system,1992,462,,,,
Brazil,Tuberculosis,1992,6.8,,,,
Brazil,Assault,1992,22,,,,
Brazil,"Malignant neoplasms of trachea, bronchus, lung",1992,19.5,,,,
Brazil,Malignant neoplasms of liver,1992,1.8,,,,
Brazil,Leukemia,1992,4.2,,,,
Brazil,Diseases of the blood and blood-forming organs,1992,3.8,,,,
Brazil,"Endocrine, nutritional and metabolic diseases",1992,59.1,,,,
Brazil,Malignant melanoma of skin,1992,1.1,,,,
